Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,1.12,1.04,1.12,1.20,1.20,1.14,1.10,1.12,0.99,1.05,1.10,1.13,1.18,1.26,1.21,1.28,1.33,1.34,1.33,1.26,1.25,1.21,1.27,1.21,1.01,1.03,0.93,0.88,0.86,0.82,0.82,0.77,0.80,0.65,0.61,0.53,0.50,0.39
Mexico,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.16,0.19,0.21,0.24,0.24,0.25,0.25,0.27,0.30,0.50,0.37,0.38,0.48,0.52,0.47,0.42,0.43,0.53,0.62,0.54,0.53,0.53,0.53,0.52,0.64,0.57,0.54,0.24,0.20,0.25
US,17.52,17.30,18.05,18.89,19.11,19.22,19.04,19.17,19.88,19.96,20.13,21.05,21.49,21.71,21.67,22.63,21.96,21.95,22.37,22.52,22.85,22.50,22.80,22.44,19.74,20.88,19.70,17.42,18.08,18.04,15.58,14.26,13.87,13.28,11.34,9.20,10.57,9.87
Argentina,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.03,0.05,0.05,0.05,0.05,0.06,0.06,0.04,0.05,0.05,0.03,0.04,0.05,0.05
Brazil,0.42,0.42,0.44,0.45,0.45,0.40,0.46,0.45,0.46,0.47,0.50,0.51,0.51,0.50,0.51,0.54,0.54,0.52,0.54,0.56,0.54,0.54,0.57,0.58,0.47,0.61,0.65,0.64,0.69,0.73,0.74,0.67,0.70,0.69,0.65,0.59,0.71,0.59
Chile,0.05,0.05,0.05,0.07,0.09,0.11,0.09,0.08,0.08,0.09,0.10,0.14,0.18,0.17,0.17,0.13,0.11,0.11,0.10,0.12,0.12,0.14,0.17,0.18,0.17,0.19,0.24,0.28,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.26,0.29,0.22
Colombia,0.13,0.13,0.16,0.13,0.15,0.07,0.08,0.14,0.15,0.17,0.15,0.12,0.14,0.13,0.11,0.11,0.11,0.09,0.10,0.09,0.06,0.16,0.14,0.19,0.17,0.20,0.16,0.20,0.21,0.22,0.21,0.23,0.17,0.16,0.19,0.17,0.11,0.10
Ecuador,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Peru,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.03
Trinidad & Tobago,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,0.01,0.01,0.01,0.01,0.02,0.02,-,^,^,^,^,^,^,^,^,0.01,^,^,^,-,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,^,^,^,^,^,^
Central America,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.04,0.05,0.07,0.06,0.07,0.05
Other Caribbean,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.06,0.07,0.06,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.09,0.08,0.08,0.07,0.08,0.11,0.15,0.14,0.14
Other South America,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Austria,0.18,0.16,0.16,0.15,0.16,0.17,0.18,0.14,0.13,0.13,0.15,0.15,0.15,0.14,0.14,0.15,0.16,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.12,0.14,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.12,0.12,0.10,0.11,0.10
Belgium,0.45,0.38,0.38,0.39,0.41,0.45,0.43,0.38,0.36,0.39,0.37,0.35,0.33,0.33,0.29,0.32,0.30,0.26,0.25,0.23,0.22,0.21,0.19,0.19,0.12,0.16,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.10,0.11,0.12
