Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,
Canada,60.9,57.0,61.2,70.6,70.5,68.3,71.1,65.6,69.0,72.8,75.0,75.9,78.8,75.3,72.4,69.1,70.5,67.0,62.6,66.2,68.4,67.4,69.0,68.4,64.6,68.0,67.5,67.3,68.4,68.3,62.4,62.4,60.6,55.0,53.2,46.1,47.6,45.1,,,,,,,,,,,,,,,,,,,
Mexico,5.5,6.2,6.9,6.3,6.8,6.9,6.4,6.1,6.6,9.0,8.9,9.7,9.4,10.1,10.3,11.3,8.9,7.1,9.2,12.2,12.7,14.1,15.2,14.4,12.7,15.3,19.6,15.2,14.6,14.9,12.3,11.4,12.9,11.9,9.8,7.7,5.5,5.5,,,,,,,,,,,,,,,,,,,
US,801.6,807.7,833.5,862.1,889.7,933.6,903.5,905.0,857.7,937.6,937.1,965.1,988.8,1013.8,998.3,974.0,1023.0,992.7,972.3,1008.9,1026.5,1054.8,1040.2,1063.0,975.2,983.7,993.9,922.1,893.4,907.2,813.7,660.8,702.7,686.0,640.8,485.7,523.8,539.4,,,,,,,,,,,,,,,,,,,
Brazil,7.7,7.4,6.9,7.3,6.7,4.1,4.9,4.6,4.6,5.1,5.1,4.8,5.6,5.6,5.7,6.7,5.6,7.6,6.8,7.8,8.0,8.1,8.3,8.8,8.3,7.7,7.6,8.2,9.5,9.4,8.0,7.5,5.8,6.4,5.8,7.1,8.0,7.5,,,,,,,,,,,,,,,,,,,
Colombia,9.0,10.7,14.6,15.1,18.9,20.5,20.0,21.9,21.7,22.7,25.7,29.6,32.7,33.6,32.8,38.2,43.9,39.5,50.0,53.9,59.7,66.2,69.9,73.5,72.8,74.4,85.8,89.8,86.0,89.4,86.5,91.2,91.3,86.4,85.4,53.6,59.0,57.5,,,,,,,,,,,,,,,,,,,
Venezuela,^,0.1,0.2,1.1,2.1,2.2,2.4,2.5,4.0,4.4,4.4,4.2,5.3,6.5,6.6,7.9,7.7,8.1,7.0,8.1,7.2,7.2,6.9,5.1,3.3,2.6,2.6,1.9,1.2,0.8,0.8,0.7,0.7,0.7,0.4,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,
Other S. & Cent. America,1.8,2.0,2.2,3.1,3.1,3.1,3.1,2.4,2.0,2.1,1.8,1.8,1.7,0.5,0.9,0.8,0.8,0.6,0.5,0.3,0.8,0.9,0.5,0.8,0.9,0.8,0.9,1.0,3.2,4.5,3.4,2.8,1.8,1.6,1.1,0.4,0.2,0.3,,,,,,,,,,,,,,,,,,,
Bulgaria,30.9,35.2,36.8,34.2,34.3,31.7,31.0,32.7,31.5,31.0,33.2,33.6,29.7,30.1,25.3,26.4,26.6,26.0,27.3,26.5,24.7,25.7,28.7,29.1,27.3,29.4,37.1,33.4,28.6,31.3,35.9,31.3,34.3,30.6,28.3,22.6,28.4,35.6,,,,,,,,,,,,,,,,,,,
Czech Republic,122.8,123.1,122.2,119.8,114.1,101.4,96.2,86.6,85.2,76.9,74.3,76.2,73.5,67.5,59.1,65.2,66.1,63.4,63.9,61.8,62.0,62.9,62.6,60.2,56.4,55.4,58.1,55.2,49.1,47.1,46.5,45.5,44.9,43.8,41.0,31.6,31.5,35.2,,,,,,,,,,,,,,,,,,,
Germany,521.6,513.2,502.9,498.3,482.7,427.4,346.4,307.9,280.7,259.7,246.7,235.8,223.6,207.3,201.1,201.6,203.0,208.4,205.2,208.0,203.1,197.4,201.9,192.5,183.6,182.3,188.6,196.2,190.6,185.8,184.3,175.4,175.1,168.8,131.3,107.4,126.3,132.5,,,,,,,,,,,,,,,,,,,
Greece,35.9,38.1,44.6,48.3,51.9,51.9,52.7,55.1,54.8,56.7,57.7,59.8,58.8,60.9,62.1,63.9,66.3,70.5,68.3,70.0,69.4,64.8,66.3,65.7,64.9,56.5,58.7,63.0,53.9,50.8,46.2,32.6,37.7,36.5,27.4,14.1,12.4,14.0,,,,,,,,,,,,,,,,,,,
Hungary,24.0,23.1,22.8,20.9,20.0,17.6,17.0,15.9,14.4,13.9,14.5,15.5,16.2,15.1,14.9,14.3,14.1,12.8,13.4,11.3,9.6,10.0,9.8,9.4,9.0,9.1,9.6,9.3,9.6,9.6,9.3,9.2,8.0,7.9,6.8,6.1,5.0,4.9,,,,,,,,,,,,,,,,,,,
Poland,249.4,259.3,266.2,266.5,249.5,215.3,209.8,198.4,198.6,200.7,200.7,201.7,200.9,178.6,172.7,162.8,163.5,161.9,163.8,161.3,159.5,156.1,145.9,144.0,135.2,133.2,139.3,144.1,142.9,137.1,135.8,131.0,127.1,122.4,112.4,100.7,107.6,107.5,,,,,,,,,,,,,,,,,,,
Romania,49.8,51.4,55.7,62.9,66.5,38.2,32.4,38.4,39.8,40.6,41.1,41.9,33.8,26.2,22.9,29.3,33.3,30.4,33.1,31.8,31.1,34.9,35.8,35.9,34.0,31.1,35.5,33.9,24.7,23.6,25.5,23.0,25.8,23.7,21.7,15.0,17.7,18.2,,,,,,,,,,,,,,,,,,,
Serbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.7,39.2,38.8,37.9,40.8,38.2,40.3,29.8,37.8,38.5,39.8,37.6,38.9,39.7,36.4,35.1,,,,,,,,,,,,,,,,,,,
Spain,39.7,38.3,34.6,31.9,36.6,36.0,33.5,33.3,31.6,29.5,28.5,27.4,26.5,26.1,24.3,23.5,22.7,22.0,20.5,20.5,19.4,18.4,17.2,10.2,9.4,8.4,6.6,6.2,4.4,3.9,3.1,1.7,3.0,2.4,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,
Turkey,40.0,46.4,47.0,39.2,52.2,47.4,46.1,51.4,48.6,54.4,55.1,56.4,59.9,67.4,67.0,63.3,62.1,54.0,48.6,46.4,60.8,64.3,75.4,79.4,79.5,73.4,76.0,71.5,60.4,65.2,58.4,73.0,74.1,83.9,87.1,74.7,86.5,96.1,,,,,,,,,,,,,,,,,,,
