Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,
Canada,79.4,71.6,84.2,91.8,91.7,82.2,88.5,90.0,82.4,86.7,91.6,89.6,96.9,106.0,106.2,114.9,110.5,109.4,108.4,98.7,101.6,94.4,104.6,98.3,82.5,84.0,77.6,67.5,68.6,66.2,62.1,62.3,60.1,50.6,47.9,38.6,34.4,34.1,,,
Mexico,3.9,6.4,7.3,8.1,7.9,7.8,9.2,9.5,11.6,14.3,15.5,18.5,18.4,18.7,18.6,19.1,23.2,26.1,30.9,23.8,32.8,31.7,31.6,21.3,29.4,32.4,33.8,34.2,31.7,33.8,33.8,34.4,30.9,29.0,32.7,18.9,13.6,21.9,,,
US,1507.7,1490.1,1574.0,1656.6,1711.4,1725.2,1722.5,1757.5,1831.2,1832.3,1853.0,1945.8,1998.2,2029.0,2037.9,2129.3,2057.0,2091.0,2139.1,2143.6,2178.9,2155.6,2182.7,2147.9,1899.5,1998.5,1876.3,1640.8,1713.9,1713.7,1468.3,1346.2,1310.0,1250.5,1051.1,844.3,977.8,904.2,,,
Argentina,0.6,1.0,1.0,1.6,0.9,0.7,0.9,0.8,1.2,2.3,1.9,1.9,1.9,1.8,2.1,1.8,1.4,0.8,0.9,1.7,2.2,2.0,2.3,1.9,1.8,3.0,2.9,2.6,2.4,2.5,2.4,1.9,2.0,2.0,1.2,1.6,2.4,2.1,,,
Brazil,4.9,6.2,5.4,4.7,5.4,4.6,5.5,5.0,4.9,5.0,5.4,6.0,7.3,7.0,9.7,10.9,11.1,9.1,9.0,10.4,10.7,10.5,10.1,12.0,10.0,11.3,12.6,14.5,22.0,26.9,27.0,25.7,22.9,20.8,21.7,17.7,24.2,16.5,,,
Other S. & Cent. America,5.4,4.7,5.2,6.5,9.0,10.3,8.5,7.7,8.2,8.4,10.9,11.7,12.7,14.1,15.6,13.1,10.1,12.7,15.9,18.0,17.6,23.2,26.3,26.5,27.2,29.6,32.5,39.5,48.0,45.2,45.3,49.9,42.1,44.8,50.2,51.1,46.9,38.0,,,
France,41.4,31.1,27.5,25.0,32.4,35.4,43.2,37.7,24.7,24.1,26.6,31.0,25.9,37.3,33.1,30.9,23.9,27.0,29.3,27.2,30.7,26.4,28.2,26.4,24.0,26.3,17.8,18.0,21.1,9.4,9.5,7.7,10.3,6.2,1.6,1.4,4.1,3.1,,,
Germany,312.9,315.3,308.5,310.4,313.1,311.7,308.1,296.4,293.7,290.7,289.7,297.0,284.8,292.8,279.1,291.4,293.2,292.6,304.6,298.8,288.1,288.9,297.1,275.2,253.4,262.9,262.5,277.1,288.2,274.4,272.2,261.7,241.2,228.2,171.4,134.6,164.7,180.6,,,
Italy,30.0,31.0,33.0,33.9,31.9,35.6,32.0,24.8,20.1,22.9,27.6,25.3,24.8,27.8,28.2,30.5,36.8,40.5,44.1,50.9,49.4,50.5,49.8,48.6,43.4,44.5,50.2,54.1,48.5,46.6,45.4,38.4,35.1,31.0,21.3,15.1,16.0,17.6,,,
Netherlands,14.8,15.1,16.9,22.3,22.2,27.5,25.2,25.2,24.2,27.0,30.0,28.5,27.4,29.6,25.1,27.1,28.5,29.0,29.7,28.1,26.9,26.5,28.5,26.8,26.6,25.8,24.7,27.3,27.5,32.4,42.2,39.5,34.0,30.3,20.1,10.1,17.3,17.3,,,
Poland,131.5,134.3,139.6,138.2,139.7,131.0,129.2,127.2,128.3,129.4,133.0,136.8,136.3,136.0,135.1,137.9,137.1,135.0,142.8,143.2,143.5,148.9,146.0,140.6,134.9,138.4,141.6,136.4,139.8,131.6,133.0,132.9,133.4,133.0,120.5,109.4,129.8,127.4,,,
Spain,54.6,54.8,54.7,43.1,59.6,60.7,59.7,65.1,63.4,62.6,67.1,54.7,64.0,63.2,75.4,80.9,71.7,82.5,76.0,80.3,80.8,68.0,74.1,50.0,36.9,24.2,44.9,56.0,41.6,45.3,52.7,37.4,46.3,38.7,14.1,6.1,6.0,9.4,,,
Turkey,15.0,19.4,17.7,12.5,20.3,20.2,21.6,24.6,23.8,28.2,28.0,30.4,33.9,35.7,37.0,38.2,38.4,32.1,32.3,34.4,43.2,46.6,53.4,57.7,55.7,55.0,66.2,68.0,63.8,76.3,76.2,92.3,97.5,113.2,112.9,105.8,103.4,112.8,,,
Ukraine,111.9,118.0,119.2,114.8,117.6,114.0,106.7,105.8,87.6,77.1,70.2,56.4,55.2,50.2,53.9,51.5,53.2,54.6,54.6,45.1,50.0,64.9,70.0,70.6,65.2,69.8,74.5,80.4,81.0,70.5,56.5,61.3,49.3,49.1,45.5,40.2,36.8,24.8,,,
United Kingdom,177.2,201.4,209.9,203.4,199.9,206.4,211.5,193.6,171.2,161.3,155.2,147.3,122.0,123.0,106.2,119.9,131.5,124.3,138.5,131.8,134.6,148.9,135.9,124.4,103.0,107.6,108.4,142.8,130.3,100.2,75.9,30.7,22.5,16.8,6.9,5.5,6.5,5.6,,,
